SkuId,SkuName,Prefix,PrefixRegex,Description,ParentSkuId,MsaId,Stem,ProductId,ProviderID,ResourcesHTML,CanEnforceLicense,IsVisibleUnlicensedSearch,IsActive,Valid,LastUpdatedDate,LastUpdatedUser,auditCreateDate,auditUpdateDate,IsHosted,LowGrade,HighGrade,Subject,SkuShortDescription,MarketDescription,ProductTaxTypeId
1E77B3C9-CD47-4EF4-B335-0007D9F2F0C8,EasyCode Pillars: Intro to Codesters,Intro to Codesters,,"This mini-course provides access to 5 free lessons of EasyCode Pillars in the Codesters environment. These lessons require no prior knowledge and will give the student enough background to get started on his or her own project right away. After Intro to Codesters, students are ready to move on to the complete 40-Lesson Intro to Python.",,1,EasyCodePillars_SKU,2C601A6A-02CC-4BA8-A071-0F78FD0677A8,BF154AD6-194C-4CA7-BC9B-36F32D0DEA14,,1,0,0,0,2018-09-26 08:57:21.377,827DCFD9-EE76-4CE7-8DD0-40083FFF8B2A,2017-04-13 17:59:01.867,2025-04-27 18:00:22.137,0,,,,,,
A0475B75-C739-4C9E-B270-0044F748D438,A Letter From Camp,A Letter From Camp,,This lesson is built around child's letter to his father. Sam uses vocabulary words as he shares the excitement of camp activities with his father.,,1,skillstutor_CV10_A_U5_L5,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,5F1EDADF-CEC7-4816-AECE-B6981504F865,,1,1,0,0,2014-04-08 12:49:01.550,D1B0DB21-BCAA-4DEE-B8F7-97CBBAFF531D,2014-07-08 13:00:35.117,2015-07-01 19:43:48.933,0,,,,,,
0E32A7B5-EF37-406B-A7AE-005B9355C8FB,Capitalization and Punctuation in Letters,Punctuation in Letters,,Students correct capitalization and punctuation errors in highlighted parts of letters.,,1,skillstutor_MECL1,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,5F1EDADF-CEC7-4816-AECE-B6981504F865,,1,1,0,0,2014-04-08 12:49:01.550,D1B0DB21-BCAA-4DEE-B8F7-97CBBAFF531D,2014-07-08 13:00:35.117,2015-07-01 19:43:48.933,0,,,,,,
A454D299-E5EE-430C-A3B2-006462115467,Invalid SKU-do not publish,Introduction to Autism,,"This introductory lesson explains autism and helps educators learn how to recognize signs, symptoms and characteristics of individuals across the spectrum of early, intermediate, and advanced learners. ",,1,ats_introtoautism_sku,,5B9784C4-F18E-4516-A6C2-37FA0A2E3F95,resources,1,0,0,0,2012-03-09 09:21:34.803,B60FEFC9-FCA6-4C43-B174-D3051BF6A631,2012-02-17 14:24:03.373,2012-12-04 13:46:15.677,0,,,,,,
B4CA8C24-C12C-4153-808E-0094B86B1E54,Classification & Adaptation,Classification & Adaptation,,"Since 1987 Classroom Complete Press has assisted teachers and parents by providing world class premium supplementary resource materials for students in grades PK to 12. Consider our products if you are looking for current curriculum materials written to grade for regular and special education. Our curriculum content follows Bloom's taxonomy, Common Core State Standards, NCTM, STEM, and the 5 themes of Geography. <p><b>The product (PDF) will be sent directly from the provider upon purchase.</p></b> ",,1,CCP_Classification_Adaption_sku,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,CC62421D-51DD-4C0F-A820-53D4EE864D09,,1,1,0,0,2013-04-09 14:56:25.283,76BDF804-A072-4E7A-8059-378FD5D097C7,2012-08-14 16:50:07.853,2015-07-01 19:43:48.933,0,,,,,,
49290833-22ED-40FA-8DCE-0096C93D410D,In the News,In the News,,"This lesson is built around two items from the newspaper. In the first, vocabulary words are presented in the familiar form of a job description. In the second, vocabulary words are presented in an article about a celebrity marriage.",,1,skillstutor_CV10_B_U4_L8,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,5F1EDADF-CEC7-4816-AECE-B6981504F865,,1,1,0,0,2014-04-08 12:49:01.550,D1B0DB21-BCAA-4DEE-B8F7-97CBBAFF531D,2014-07-08 13:00:35.117,2015-07-01 19:43:48.933,0,,,,,,
EF5797FA-4EE4-4B78-B88E-00AEDAD9F782,TechLiteracy Assessment Elementary 07/08-S,TLA-EL-07/08-S,,TechLiteracy Assessment for Elementary School students - Single administration for the 2007-2008 school year,,2,TLA-student,07106B38-DE0A-463E-B867-75CDE0A818C4,BF154AD6-194C-4CA7-BC9B-36F32D0DEA14,,1,0,0,0,2007-08-02 15:09:18.957,,,2020-06-12 16:22:43.097,0,,,,,,
F0287231-CCFE-450D-9CC9-00BAC7EBF30F,Adjectives: Comparative and Superlative B,Adjectives: Comp Superlative B,,Use the correct form of an adjective in a sentence. Standard adjectives describe nouns and pronouns. Comparative adjectives compare two nouns or pronouns. Superlative adjective compare three or more nouns or pronouns.,,1,skillstutor_CSLA_B_U3_L6,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,5F1EDADF-CEC7-4816-AECE-B6981504F865,,1,1,0,0,2014-04-08 12:49:01.550,D1B0DB21-BCAA-4DEE-B8F7-97CBBAFF531D,2014-07-08 13:00:35.117,2015-07-01 19:43:48.933,0,,,,,,
E339216D-C108-4FC2-BF6F-00C1B2BC8FBA,Adverbs vs. Adjectives with Comparatives B,Adverbs vs. Adjectives B,,"1. Use an adverb to describe a verb. Adverbs tell how, when, or where an action happens. 2. Adverbs can be used to compare actions.",,1,skillstutor_CSLA_C_U3_L7,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,5F1EDADF-CEC7-4816-AECE-B6981504F865,,1,1,0,0,2014-04-08 12:49:01.550,D1B0DB21-BCAA-4DEE-B8F7-97CBBAFF531D,2014-07-08 13:00:35.117,2015-07-01 19:43:48.933,0,,,,,,
870BB9D6-B533-40C9-BAFB-00D8FDD24965,Supporting Struggling Students with Rigorous Instruction 15 CEUS,SupportStrugglingStdnts-15CEUS,,"In this course, learn how to support your struggling students without sacrificing rigor. Presenter Robyn R. Jackson starts by helping educators understand why students struggle. From there, participants will learn specific strategies for supporting students such as acceleration strategies designed to prevent students from struggling in the first place, progressive intervention strategies that directly address sources of student struggle and quickly get struggling students back on track.",,1,KDSI_Supporting_15CEU,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,487021E1-A777-4C26-B2D7-317FE2378335,,1,1,0,0,2011-08-31 12:30:53.753,7458E809-3403-4422-A8B4-5958002C1D0F,2011-09-09 15:11:04.290,2015-07-01 19:43:48.933,0,,,,,,
FD697174-F04B-46D3-BD6F-00EED319F381,Keyboarding,KB,,Keyboarding,,2,Keyboarding,281A5BE5-D298-4AF4-B495-2C6E1E070BD8,BF154AD6-194C-4CA7-BC9B-36F32D0DEA14,,1,0,0,0,2010-07-15 16:03:46.173,A2CA149B-1658-4637-B7AB-792327DB89F3,2010-07-15 16:03:46.173,2020-06-12 16:22:43.097,0,,,,,,
DF5955C4-6083-48F4-80F5-0102DD3D923C,"Daily Warm-Ups: Algebra for Texas Essential Knowledge and Skills (TEKS), G9 - 12",Warm Up Alg G9-12,,"Daily Warm-Ups: Algebra for Texas Essential Knowledge and Skills, G9-12 is packed with 100 ten-minute activities directly addressing TEKS standards. Choose the activity that best suits your lesson plan for the day. The activities are great for starting class or making a transition. Set your class on the right path with these warm-up problems, prompts, and brain benders. Standards include the following strands: <ul><li>Foundations for Functions </li><li>Linear Functions </li><li>Quadratic and Other Nonlinear Functions</li></ul>  ",,1,Walch_product_icon_069434,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,02FF73E4-3AFC-47D6-96DF-560A2187A8DE,,1,1,0,0,2012-11-01 16:23:41.820,7A1648B4-55BC-4498-B20E-A3155E9EFC12,2012-08-23 12:22:22.293,2015-07-01 19:43:48.933,0,,,,,,
DCFDC91B-D2EF-4CE2-AC7E-010DE6E86D69,I Never Would Have Thought,I Never Would Have Thought,,"This lesson features vocabulary words in the form of a diary entry. In the diary entry, Natasha explains what she has learned in science class about animals' behaviors and feeding habits.",,1,skillstutor_CV10_C_U1_L2,A8ACEA91-8318-43DE-AD80-8816E8CEEEB4,5F1EDADF-CEC7-4816-AECE-B6981504F865,,1,1,0,0,2014-04-08 12:49:01.550,D1B0DB21-BCAA-4DEE-B8F7-97CBBAFF531D,2014-07-08 13:00:35.117,2015-07-01 19:43:48.933,0,,,,,,
