assessment_set_name_partial,level,topic_name
Unit 1,Level 4,Online Safety & Digital Citizenship
Unit 1,Level 5,Online Safety & Digital Citizenship
Unit 1,Level 6,Computer Fundamentals
Unit 1,Level 7,Computer Fundamentals
Unit 1,Level 8,Computer Fundamentals
Unit 2,Level 6,Online Safety & Digital Citizenship
Unit 2,Level 7,Online Safety & Digital Citizenship
Unit 2,Level 8,Online Safety & Digital Citizenship
Unit 3,Level 4,Online Safety & Digital Citizenship
Unit 3,Level 5,Online Safety & Digital Citizenship
Unit 3,Level 6,Online Safety & Digital Citizenship
Unit 3,Level 7,Internet Usage & Online Communication
Unit 3,Level 8,Internet Usage & Online Communication
Unit 4,Level 4,Internet Usage & Online Communication
Unit 4,Level 5,Internet Usage & Online Communication
Unit 4,Level 6,Online Safety & Digital Citizenship
Unit 4,Level 7,Online Safety & Digital Citizenship
Unit 4,Level 8,Internet Usage & Online Communication
Unit 5,Level 4,Internet Usage & Online Communication
Unit 5,Level 5,Internet Usage & Online Communication
Unit 5,Level 6,Internet Usage & Online Communication
Unit 5,Level 7,Internet Usage & Online Communication
Unit 5,Level 8,Online Safety & Digital Citizenship
Unit 6,Level 6,Computer Fundamentals
Unit 6,Level 7,Computer Fundamentals
Unit 6,Level 8,Internet Usage & Online Communication
Unit 7,Level 4,Computer Fundamentals
Unit 7,Level 5,Computer Fundamentals
Unit 7,Level 6,Productivity Tools and Computational Thinking
Unit 7,Level 7,Computer Fundamentals
Unit 7,Level 8,Computer Fundamentals
Unit 8,Level 4,Productivity Tools and Computational Thinking
Unit 8,Level 5,Productivity Tools and Computational Thinking
Unit 8,Level 8,Computer Fundamentals
Visual Mapping,Level 3,Productivity Tools and Computational Thinking
Word Processing,Level 3,Productivity Tools and Computational Thinking
Word Processing,Level 4,Productivity Tools and Computational Thinking
Word Processing,Level 5,Productivity Tools and Computational Thinking
Word Processing,Level MS,Productivity Tools and Computational Thinking
Artifical Intelligence,Levels 4-5,Artificial Intelligence
Artificial Intelligence,Levels 4-5,Artificial Intelligence
Computational Thinking,Level 3,Productivity Tools and Computational Thinking
Computational Thinking,Level 4,Productivity Tools and Computational Thinking
Computational Thinking,Level 5,Productivity Tools and Computational Thinking
Computational Thinking,Level MS,Productivity Tools and Computational Thinking
Online Safety & Digital Citizenship,Level 3,Online Safety & Digital Citizenship
Online Safety & Digital Citizenship,Level 4,Online Safety & Digital Citizenship
Online Safety & Digital Citizenship,Level 5,Online Safety & Digital Citizenship
Online Safety & Digital Citizenship,Level MS,Online Safety & Digital Citizenship
Internet Usage & Online Communication,Level 3,Internet Usage & Online Communication
Internet Usage & Online Communication,Level 4,Internet Usage & Online Communication
Internet Usage & Online Communication,Level 5,Internet Usage & Online Communication
Internet Usage & Online Communication,Level MS,Internet Usage & Online Communication
Computer Fundamentals,Level 3,Computer Fundamentals
Computer Fundamentals,Level 4,Computer Fundamentals
Computer Fundamentals,Level 5,Computer Fundamentals
Computer Fundamentals,Level MS,Computer Fundamentals
Presentations,Level 3,Productivity Tools and Computational Thinking
Presentations,Level 4,Productivity Tools and Computational Thinking
Presentations,Level 5,Productivity Tools and Computational Thinking
Presentations,Level MS,Productivity Tools and Computational Thinking
Multimedia,Level MS,Productivity Tools and Computational Thinking
Multimedia,MS,Productivity Tools and Computational Thinking
Spreadsheets,Level 3,Productivity Tools and Computational Thinking
Spreadsheets,Level 4,Productivity Tools and Computational Thinking
Spreadsheets,Level 5,Productivity Tools and Computational Thinking
Spreadsheets,Level MS,Productivity Tools and Computational Thinking
Spreadsheets & Databases,Level 3,Productivity Tools and Computational Thinking
Spreadsheets & Databases,Level 4,Productivity Tools and Computational Thinking
Spreadsheets & Databases,Level 5,Productivity Tools and Computational Thinking
Spreadsheets & Databases,Level MS,Productivity Tools and Computational Thinking
