School_or_Fiscal_Year,Goal_Type,Applied_To,Goal_Name,Goal,Attribute1,loaddate
2025/2026,Utilization Pod Targets,FL,Registration Targets,100000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,MI ,Registration Targets,100000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,MS,Registration Targets,61000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,NC,Registration Targets,320000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,SC,Registration Targets,200000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,WV,Registration Targets,105000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,GA,Registration Targets,27000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,FL,Utilization Goal,0.55,State Program,10/27/2025
2025/2026,Utilization Pod Targets,MI ,Utilization Goal,0.55,State Program,10/27/2025
2025/2026,Utilization Pod Targets,MS,Utilization Goal,0.4,State Program,10/27/2025
2025/2026,Utilization Pod Targets,NC,Utilization Goal,0.7,State Program,10/27/2025
2025/2026,Utilization Pod Targets,SC,Utilization Goal,0.7,State Program,10/27/2025
2025/2026,Utilization Pod Targets,WV,Utilization Goal,0.85,State Program,10/27/2025
2025/2026,Utilization Pod Targets,GA,Utilization Goal,0.4,State Program,10/27/2025
2025/2026,Utilization Pod Targets,FL,Active Users Goal,55000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,MI ,Active Users Goal,55000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,MS,Active Users Goal,24400,State Program,10/27/2025
2025/2026,Utilization Pod Targets,NC,Active Users Goal,224000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,SC,Active Users Goal,140000,State Program,10/27/2025
2025/2026,Utilization Pod Targets,WV,Active Users Goal,89250,State Program,10/27/2025
2025/2026,Utilization Pod Targets,GA,Active Users Goal,10800,State Program,10/27/2025
2025/2026,Utilization Pod Targets,AL,Active Users Goal,30629,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,AR,Active Users Goal,16074,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,AZ,Active Users Goal,75134,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,CA,Active Users Goal,54642,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,CO,Active Users Goal,3675,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,CT,Active Users Goal,368,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,DC,Active Users Goal,150,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,FL,Active Users Goal,21110,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,GA,Active Users Goal,26396,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,HI,Active Users Goal,707,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,IA,Active Users Goal,2153,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,ID,Active Users Goal,939,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,IL,Active Users Goal,25540,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,IN,Active Users Goal,31805,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,KS,Active Users Goal,3019,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,KY,Active Users Goal,4036,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,LA,Active Users Goal,2864,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MA,Active Users Goal,5048,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MD,Active Users Goal,2349,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MI,Active Users Goal,46859,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MN,Active Users Goal,635,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MO,Active Users Goal,11611,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MS,Active Users Goal,6055,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,MT,Active Users Goal,120,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NC,Active Users Goal,1193,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,ND,Active Users Goal,637,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NE,Active Users Goal,694,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NH,Active Users Goal,632,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NJ,Active Users Goal,39085,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NM,Active Users Goal,5824,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NV,Active Users Goal,4222,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,NY,Active Users Goal,48754,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,OH,Active Users Goal,27607,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,OK,Active Users Goal,7562,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,OR,Active Users Goal,8688,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,PA,Active Users Goal,11167,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,SD,Active Users Goal,1162,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,TN,Active Users Goal,12037,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,TX,Active Users Goal,822339,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,UT,Active Users Goal,197,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,VA,Active Users Goal,1140,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,VI,Active Users Goal,3357,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,WA,Active Users Goal,28760,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,WI,Active Users Goal,2733,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,WV,Active Users Goal,9294,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,WY,Active Users Goal,1441,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,AL,Launches per User Goal,60.42643125,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,AR,Launches per User Goal,55.59644069,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,AZ,Launches per User Goal,51.04261102,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,CA,Launches per User Goal,27.69353967,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,CO,Launches per User Goal,35.39750589,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,CT,Launches per User Goal,20.812,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,DC,Launches per User Goal,105.6647059,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,FL,Launches per User Goal,54.04129619,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,GA,Launches per User Goal,30.4299333,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,HI,Launches per User Goal,48.44562212,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,IA,Launches per User Goal,62.28161914,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,ID,Launches per User Goal,53.77264834,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,IL,Launches per User Goal,46.75048658,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,IN,Launches per User Goal,45.90130151,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,KS,Launches per User Goal,72.68508969,Non State Program States ,10/27/2025
2025/2026,Utilization Pod Targets,KY,Launches per User Goal,18.29919786,Non State Program States ,10/27/2025
