"table_name","column_name"
acceptedeventrelation,accountid
acceptedeventrelation,createdbyid
acceptedeventrelation,createddate
acceptedeventrelation,eventid
acceptedeventrelation,id
acceptedeventrelation,isdeleted
acceptedeventrelation,lastmodifiedbyid
acceptedeventrelation,lastmodifieddate
acceptedeventrelation,relationid
acceptedeventrelation,respondeddate
acceptedeventrelation,response
acceptedeventrelation,systemmodstamp
acceptedeventrelation,type
account,account_dupe_management_id__c
account,account_grade__c
account,account_id__c
account,account_last_activity_date__c
account,account_lifecycle_stage__c
account,account_management_type__c
account,account_manager__c
account,accountemail__c
account,accountnumber
account,accountsource
account,act_id__c
account,active_principals__c
account,actively_prospecting__c
account,activitymetricid
account,activitymetricrollupid
account,addressee_billing__c
account,addressee_shipping__c
account,ae_or_isr__c
account,agile_duplicate_id__c
account,agile_id__c
account,agile_lms__c
account,agileed__agileed_do_not_update__c
account,agileed__agileed_insert__c
account,agileed__agileed_key__c
account,agileed__agileed_latest_update_date__c
account,agileed__agileed_parent_key__c
account,agileed__agileed_status__c
account,agileed__agileed_up_to_date__c
account,agileed__connectlink_changed_person_hierarchies__c
account,agileed__connectlink_changed_personnel_titles__c
account,agileed__connectlink_district_key__c
account,agileed__connectlink_do_not_update_hierarchy__c
account,agileed__connectlink_file_type__c
account,agileed__connectlink_hierarchized_personnel__c
account,agileed__connectlink_inactivated_personnel_roles__c
account,agileed__connectlink_licensed_status__c
account,agileed__connectlink_metrics_run_start__c
account,agileed__connectlink_new_personnel_roles__c
account,agileed__connectlink_personnel_roles__c
account,agileed__connectlink_personnel_titles__c
account,agileed__last_sync__c
account,agileed__parent_pending__c
account,agileed__personnel_last_sync__c
account,alt_phone__c
account,annualrevenue
account,attn_billing__c
account,attn_shipping__c
account,avg_days_to_pay__c
account,beginning_arr__c
account,billingaddress
account,bulk_update_batch__c
account,cares_act_allocation__c
account,category__c
account,check_national_id__c
account,churn_date__c
account,churned_opportunity_id__c
account,closed_district_tx_adoption__c
account,code_monkey_customer__c
account,codester_customer_type__c
account,codesterid__c
account,codesters__codesters_organization__c
account,codesters__national_id__c
account,codesters__null_codesters_license__c
account,codesters_account_to_be_migrated_to_prod__c
account,codesters_arr__c
account,codesters_customer_2__c
account,codesters_customer_dedupe_flag__c
account,codesters_expansion_tam__c
account,codesters_sfdc_id__c
account,commissioner_of_ed__c
account,company_domain_name__c
account,competitor_spend_since_2018__c
account,competitors_present__c
account,completed_onboarding__c
