Salesforce Table,Salesforce Column,Fivetran Table,Fivetran Column,Column Similarity
account,account_dupe_management_id__c,account,account_dupe_management_id_c,1.0
account,account_grade__c,account,account_grade_c,1.0
account,account_id__c,account,account_id_c,1.0
account,account_last_activity_date__c,account,account_last_activity_date_c,1.0
account,account_lifecycle_stage__c,account,account_lifecycle_stage_c,1.0
account,account_management_type__c,account,account_management_type_c,1.0
account,account_manager__c,account,account_manager_c,1.0
account,accountemail__c,account,account_email_c,1.0
account,accountnumber,account,account_number,1.0
account,accountsource,account,account_source,1.0
account,act_id__c,account,act_id_c,1.0
account,active_principals__c,account,active_principals_c,1.0
account,actively_prospecting__c,account,actively_prospecting_c,1.0
account,activitymetricid,account,activity_metric_id,1.0
account,activitymetricrollupid,account,activity_metric_rollup_id,1.0
account,addressee_billing__c,account,addressee_billing_c,1.0
account,addressee_shipping__c,account,addressee_shipping_c,1.0
account,ae_or_isr__c,account,ae_or_isr_c,1.0
account,agile_duplicate_id__c,account,agile_duplicate_id_c,1.0
account,agile_id__c,account,agile_id_c,1.0
account,agile_lms__c,account,agile_lms_c,1.0
account,agileed__agileed_do_not_update__c,account,agileed_agileed_do_not_update_c,1.0
account,agileed__agileed_insert__c,account,agileed_agile_ed_insert_c,1.0
account,agileed__agileed_key__c,account,agileed_agile_ed_key_c,1.0
account,agileed__agileed_latest_update_date__c,account,agileed_agile_ed_latest_update_date_c,1.0
account,agileed__agileed_parent_key__c,account,agileed_agile_ed_parent_key_c,1.0
account,agileed__agileed_status__c,account,agileed_agile_ed_status_c,1.0
account,agileed__agileed_up_to_date__c,account,agileed_agile_ed_up_to_date_c,1.0
account,agileed__connectlink_changed_person_hierarchies__c,account,agileed_connect_link_changed_person_hierarchies_c,1.0
account,agileed__connectlink_changed_personnel_titles__c,account,agileed_connect_link_changed_personnel_titles_c,1.0
account,agileed__connectlink_district_key__c,account,agileed_connect_link_district_key_c,1.0
account,agileed__connectlink_do_not_update_hierarchy__c,account,agileed_connect_link_do_not_update_hierarchy_c,1.0
account,agileed__connectlink_file_type__c,account,agileed_connect_link_file_type_c,1.0
account,agileed__connectlink_hierarchized_personnel__c,account,agileed_connect_link_hierarchized_personnel_c,1.0
account,agileed__connectlink_inactivated_personnel_roles__c,account,agileed_connect_link_inactivated_personnel_roles_c,1.0
account,agileed__connectlink_licensed_status__c,account,agileed_connect_link_licensed_status_c,1.0
account,agileed__connectlink_metrics_run_start__c,account,agileed_connect_link_metrics_run_start_c,1.0
account,agileed__connectlink_new_personnel_roles__c,account,agileed_connect_link_new_personnel_roles_c,1.0
account,agileed__connectlink_personnel_roles__c,account,agileed_connect_link_personnel_roles_c,1.0
account,agileed__connectlink_personnel_titles__c,account,agileed_connect_link_personnel_titles_c,1.0
account,agileed__last_sync__c,account,agileed_last_sync_c,1.0
account,agileed__parent_pending__c,account,agileed_parent_pending_c,1.0
account,agileed__personnel_last_sync__c,account,agileed_personnel_last_sync_c,1.0
account,alt_phone__c,account,alt_phone_c,1.0
account,annualrevenue,account,annual_revenue,1.0
account,attn_billing__c,account,attn_billing_c,1.0
account,attn_shipping__c,account,attn_shipping_c,1.0
account,avg_days_to_pay__c,account,avg_days_to_pay_c,1.0
account,beginning_arr__c,account,beginning_arr_c,1.0
account,bulk_update_batch__c,account,bulk_update_batch_c,1.0
account,cares_act_allocation__c,account,cares_act_allocation_c,1.0
account,category__c,account,category_c,1.0
account,check_national_id__c,account,check_national_id_c,1.0
account,churn_date__c,account,churn_date_c,1.0
account,churned_opportunity_id__c,account,churned_opportunity_id_c,1.0
account,closed_district_tx_adoption__c,account,closed_district_tx_adoption_c,1.0
account,code_monkey_customer__c,account,code_monkey_customer_c,1.0
account,codester_customer_type__c,account,codester_customer_type_c,1.0
account,codesterid__c,account,codester_id_c,1.0
account,codesters__codesters_organization__c,account,codesters_codesters_organization_c,1.0
account,codesters__national_id__c,account,codesters_national_id_c,1.0
account,codesters__null_codesters_license__c,account,codesters_null_codesters_license_c,1.0
account,codesters_account_to_be_migrated_to_prod__c,account,codesters_account_to_be_migrated_to_prod_c,1.0
account,codesters_arr__c,account,codesters_arr_c,1.0
account,codesters_customer_2__c,account,codesters_customer_2_c,1.0
account,codesters_customer_dedupe_flag__c,account,codesters_customer_dedupe_flag_c,1.0
account,codesters_expansion_tam__c,account,codesters_expansion_tam_c,1.0
account,codesters_sfdc_id__c,account,codesters_sfdc_id_c,1.0
account,commissioner_of_ed__c,account,commissioner_of_ed_c,1.0
account,company_domain_name__c,account,company_domain_name_c,1.0
account,competitor_spend_since_2018__c,account,competitor_spend_since_2018_c,1.0
account,competitors_present__c,account,competitors_present_c,1.0
account,completed_onboarding__c,account,completed_onboarding_c,1.0
account,computer_os__c,account,computer_os_c,1.0
account,contracted_roll_up__c,account,contracted_roll_up_c,1.0
account,county_name__c,account,county_name_c,1.0
account,createdbyid,account,created_by_id,1.0
account,createddate,account,created_date,1.0
account,csm_email__c,account,csm_email_c,1.0
account,csm_id__c,account,csm_id_c,1.0
account,csm_name__c,account,csm_name_c,1.0
account,csm_phone_number__c,account,csm_phone_number_c,1.0
account,csm_strategy__c,account,csm_strategy_c,1.0
account,current_renewal_arr__c,account,current_renewal_arr_c,1.0
account,current_total_ultimate_parent__c,account,current_total_ultimate_parent_c,1.0
account,curriculum_sequence__c,account,curriculum_sequence_c,1.0
account,customer_health__c,account,customer_health_c,1.0
account,customer_health_score__c,account,customer_health_score_c,1.0
account,customer_level__c,account,customer_level_c,1.0
account,customer_level_override__c,account,customer_level_override_c,1.0
account,customer_objectives__c,account,customer_objectives_c,1.0
account,customer_stage__c,account,customer_stage_c,1.0
account,customer_type__c,account,customer_type_c,1.0
account,customersince__c,account,customer_since_c,1.0
account,data_quality_description__c,account,data_quality_description_c,1.0
account,data_quality_score__c,account,data_quality_score_c,1.0
account,deidentified_district__c,account,de_identified_district_c,1.0
account,delete_old_nces_unique_id__c,account,delete_old_nces_unique_id_c,1.0
account,description,account,description,1.0
account,detailed_grade__c,account,detailed_grade_c,1.0
account,digital_skills_playlist_url__c,account,digital_skills_playlist_url_c,1.0
account,district__c,account,district_c,1.0
account,district_easycode_tam__c,account,district_easy_code_tam_c,1.0
account,district_easytech_tam__c,account,district_easy_tech_tam_c,1.0
account,district_elementary_teachers__c,account,district_elementary_teachers_c,1.0
account,district_expansion_potential__c,account,district_expansion_potential_c,1.0
account,district_faculty_library_media_fte__c,account,district_faculty_library_media_fte_c,1.0
account,district_instructional_expenditures__c,account,district_instructional_expenditures_c,1.0
account,district_k_8_enrollment__c,account,district_k_8_enrollment_c,1.0
account,district_kindergarten_teachers__c,account,district_kindergarten_teachers_c,1.0
account,district_local_revenue_cities__c,account,district_local_revenue_cities_c,1.0
account,district_local_revenue_other_leas__c,account,district_local_revenue_other_leas_c,1.0
account,district_local_revenue_other_taxes__c,account,district_local_revenue_other_taxes_c,1.0
account,district_local_revenue_property_taxes__c,account,district_local_revenue_property_taxes_c,1.0
account,district_name_search__c,account,district_name_search_c,1.0
account,district_nces__c,account,district_nces_c,1.0
account,district_overview__c,account,district_overview_c,1.0
account,district_presence__c,account,district_presence_c,1.0
account,district_requirement__c,account,district_requirement_c,1.0
account,district_saturation__c,account,district_saturation_c,1.0
account,district_state_initiative__c,account,district_state_initiative_c,1.0
account,district_stem__c,account,district_stem_c,1.0
account,district_total_capital_outlay__c,account,district_total_capital_outlay_c,1.0
account,district_total_expenditures__c,account,district_total_expenditures_c,1.0
account,district_total_expense_per_student__c,account,district_total_expense_per_student_c,1.0
account,district_total_fed_revenue__c,account,district_total_fed_revenue_c,1.0
account,district_total_local_revenue__c,account,district_total_local_revenue_c,1.0
account,district_total_revenue__c,account,district_total_revenue_c,1.0
account,district_total_state_revenue__c,account,district_total_state_revenue_c,1.0
account,district_total_tam__c,account,district_total_tam_c,1.0
account,district_type__c,account,district_type_c,1.0
account,districtenrollment__c,account,district_enrollment_c,1.0
account,dq_opportunities__c,account,dq_opportunities_c,1.0
account,dummy_field__c,account,dummy_field_c,1.0
account,easycode_tam_6_8__c,account,easy_code_tam_6_8_c,1.0
account,easycode_tam_k_5__c,account,easy_code_tam_k_5_c,1.0
account,easytech_customer__c,account,easy_tech_customer_c,1.0
account,easytech_tam__c,account,easy_tech_tam_c,1.0
account,easytech_tam_captured__c,account,easy_tech_tam_captured_c,1.0
account,ec_tam__c,account,ec_tam_c,1.0
account,ed_services_owner__c,account,ed_services_owner_c,1.0
account,education_climate_index__c,account,education_climate_index_c,1.0
account,education_type__c,account,education_type_c,1.0
account,educational_environment__c,account,educational_environment_c,1.0
account,eighth_grade_enrollment__c,account,eighth_grade_enrollment_c,1.0
account,email_domain__c,account,email_domain_c,1.0
account,emo_cmo_id__c,account,emo_cmo_id_c,1.0
account,emo_cmo_name__c,account,emo_cmo_name_c,1.0
account,end_date__c,account,end_date_c,1.0
account,enrollment_advanced_placement__c,account,enrollment_advanced_placement_c,1.0
account,enrollment_band__c,account,enrollment_band_c,1.0
account,enrollment_tier__c,account,enrollment_tier_c,1.0
account,esser_funding__c,account,esser_funding_c,1.0
account,et_tam__c,account,et_tam_c,1.0
account,exes_campaign__c,account,exes_campaign_c,1.0
account,expired_renewal__c,account,expired_renewal_c,1.0
account,facilitator_s__c,account,facilitator_s_c,1.0
account,fax,account,fax,1.0
account,fifth_grade_enrollment__c,account,fifth_grade_enrollment_c,1.0
account,first_contact__c,account,first_contact_c,1.0
account,first_grade_enrollment__c,account,first_grade_enrollment_c,1.0
account,first_name__c,account,first_name_c,1.0
account,fiscal_career_and_tech_federal__c,account,fiscal_career_and_tech_federal_c,1.0
account,fiscal_career_and_tech_state__c,account,fiscal_career_and_tech_state_c,1.0
account,fiscal_career_and_tech_teacher_salar__c,account,fiscal_career_and_tech_teacher_salar_c,1.0
account,fiscal_title_i_eligible_school__c,account,fiscal_title_i_eligible_school_c,1.0
