"id","qualified_api_name","fivetran_index","durable_id","last_modified_date","last_modified_by_id","namespace_prefix","developer_name","master_label","label","plural_label","default_compact_layout_id","is_customizable","is_apex_triggerable","is_workflow_enabled","is_process_enabled","is_compact_layoutable","deployment_status","key_prefix","is_custom_setting","is_deprecated_and_hidden","is_replicateable","is_retrieveable","is_search_layoutable","is_searchable","is_triggerable","is_id_enabled","is_ever_creatable","is_ever_updatable","is_ever_deletable","is_feed_enabled","is_queryable","is_mru_enabled","detail_url","edit_url","new_url","edit_definition_url","help_setting_page_name","help_setting_page_url","running_user_entity_access_id","publisher_id","is_layoutable","internal_sharing_model","external_sharing_model","has_subtypes","is_subtype","is_auto_activity_capture_enabled","is_interface","implements_interfaces","implemented_by","extends_interfaces","extended_by","default_implementation","_fivetran_deleted","_fivetran_synced"
"000000000000000AAA",PlatformAction,888,PlatformAction,,,,PlatformAction,Platform Action,Platform Action,Platform Actions,,false,false,false,false,false,,"0JV",false,false,false,false,false,false,false,true,true,true,false,false,true,false,/{ID},/{ID}/e,/0JV/e,,,,PlatformAction.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.396 -0700
"000000000000000AAA",PromptVersionLocalization,905,PromptVersionLocalization,,,,PromptVersionLocalization,Translation,Translation,Translation,,false,false,false,false,false,,"01j",false,false,true,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/01j/e,,,,PromptVersionLocalization.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.435 -0700
"000000000000000AAA",Gong__Note__History,587,"01IUZ0000004zxt.History",,,Gong,Note__History,History: Note,History: Note,History: Note,,false,false,false,false,false,,"017",false,false,true,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/017/e,,,,"01IUZ0000004zxt.History.005UZ00000BrdXxYAJ",System,false,ReadWrite,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:34.606 -0700
"000000000000000AAA",LightningExperienceTheme,735,LightningExperienceTheme,,,,LightningExperienceTheme,Lightning Experience Theme,Lightning Experience Theme,Lightning Experience Themes,,false,false,false,false,false,,"0S1",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/0S1/e,,,,LightningExperienceTheme.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:34.926 -0700
"000000000000000AAA",EntitlementTemplate,464,EntitlementTemplate,,,,EntitlementTemplate,Entitlement Template,Entitlement Template,Entitlement Template,,false,false,false,false,false,,"551",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/551/e,,,,EntitlementTemplate.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:34.398 -0700
"000000000000000AAA",ContactPointConsent,273,ContactPointConsent,,,,ContactPointConsent,Contact Point Consent,Contact Point Consent,Contact Point Consents,ContactPointConsent.SYSTEM,true,true,true,true,true,,"0ZX",false,false,true,true,true,true,true,true,true,true,true,false,true,true,/{ID},/{ID}/e,/0ZX/e,,,,ContactPointConsent.005UZ00000BrdXxYAJ,System,true,Private,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:32.685 -0700
"000000000000000AAA",agileed__District_Institution__ChangeEvent,1497,"01I8X0000018SqD.ChangeEvent",,,agileed,District_Institution__ChangeEvent,Change Event: District Institution,Change Event: District Institution,Change Event: District Institution,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01I8X0000018SqD.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ReadWrite,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:38.025 -0700
"000000000000000AAA",LinkedArticleHistory,745,LinkedArticleHistory,,,,LinkedArticleHistory,Linked Article History,Linked Article History,Linked Article History,,false,false,false,false,false,,"017",false,false,true,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/017/e,,,,LinkedArticleHistory.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:34.926 -0700
"000000000000000AAA",ActiveFeatureLicenseMetric,25,ActiveFeatureLicenseMetric,,,,ActiveFeatureLicenseMetric,Active Feature License Metric,Active Feature License Metric,Active Feature License Metrics,,false,false,false,false,false,,"5H2",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/5H2/e,,,,ActiveFeatureLicenseMetric.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:32.352 -0700
"000000000000000AAA",ProfileSkillHistory,1174,ProfileSkillHistory,,,,ProfileSkillHistory,Skill History,Skill History,Skill History,,false,false,false,false,false,,"017",false,false,true,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/017/e,,,,ProfileSkillHistory.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.610 -0700
"000000000000000AAA",Graphics_Pack_Example__ChangeEvent,609,"01IUZ000000Wh0F.ChangeEvent",,,,Graphics_Pack_Example__ChangeEvent,Change Event: Graphics Pack Example,Change Event: Graphics Pack Example,Change Event: Graphics Pack Example,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01IUZ000000Wh0F.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ReadWrite,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:34.675 -0700
"000000000000000AAA",ActiveProfileMetric,27,ActiveProfileMetric,,,,ActiveProfileMetric,Active Profile Metric,Active Profile Metric,Active Profile Metrics,,false,false,false,false,false,,"5H0",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/5H0/e,,,,ActiveProfileMetric.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:32.352 -0700
"000000000000000AAA",Account_Activity_Plan__ChangeEvent,20,"01I1L000002qPtd.ChangeEvent",,,,Account_Activity_Plan__ChangeEvent,Change Event: Account Activity Plan,Change Event: Account Activity Plan,Change Event: Account Activity Plan,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01I1L000002qPtd.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:32.335 -0700
"000000000000000AAA",Group,612,Group,,,,Group,Group,Group,Group,,false,false,false,false,false,,"00G",false,false,true,true,false,true,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/00G/e,,,,Group.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:34.675 -0700
"000000000000000AAA",AuthorizationFormShare,111,AuthorizationFormShare,,,,AuthorizationFormShare,Authorization Form Share,Authorization Form Share,Authorization Form Share,,false,false,false,false,false,,"02c",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/02c/e,,,,AuthorizationFormShare.005UZ00000BrdXxYAJ,System,false,Private,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:32.420 -0700
"000000000000000AAA",SBQQ__TermCondition__ChangeEvent,1153,"01I41000002c7im.ChangeEvent",,,SBQQ,TermCondition__ChangeEvent,Change Event: Term Condition,Change Event: Term Condition,Change Event: Term Condition,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01I41000002c7im.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:36.608 -0700
"000000000000000AAA",MessagingSessionHistory,1007,MessagingSessionHistory,,,,MessagingSessionHistory,Messaging Session History,Messaging Session History,Messaging Session History,,false,false,false,false,false,,"017",false,false,true,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/017/e,,,,MessagingSessionHistory.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.601 -0700
"000000000000000AAA",JCFS__AutoSyncJob__c,665,"01IUZ000000U33h",2024-06-18 03:28:31.000 -0700,"005UZ000005J3XBYA0",JCFS,AutoSyncJob,AutoSyncJob,AutoSyncJob,AutoSyncJobs,JCFS__AutoSyncJob__c.SYSTEM,true,true,true,true,true,Deployed,a5n,false,false,true,true,true,true,true,true,true,true,true,false,true,true,/{ID},/{ID}/e,/a5n/e,/01IUZ000000U33h/e,,,"01IUZ000000U33h.005UZ00000BrdXxYAJ",JCFS,true,ReadWrite,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:34.765 -0700
"000000000000000AAA",ServiceContractShare,1241,ServiceContractShare,,,,ServiceContractShare,Service Contract Share,Service Contract Share,Service Contract Share,,false,false,false,false,false,,"02c",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/02c/e,,,,ServiceContractShare.005UZ00000BrdXxYAJ,System,false,Private,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:37.942 -0700
"000000000000000AAA",Product2ChangeEvent,1112,Product2ChangeEvent,,,,Product2ChangeEvent,Product Change Event,Product Change Event,Product Change Event,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,Product2ChangeEvent.005UZ00000BrdXxYAJ,CDC,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.606 -0700
"000000000000000AAA",Audience,92,Audience,,,,Audience,Audience,Audience,Audiences,,false,false,false,false,false,,"6Au",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/6Au/e,,,,Audience.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:32.390 -0700
"000000000000000AAA",SBQQ__OrderItemConsumptionRate__ChangeEvent,1037,"01I1L0000032xz8.ChangeEvent",,,SBQQ,OrderItemConsumptionRate__ChangeEvent,Change Event: Order Product Consumption Rate,Change Event: Order Product Consumption Rate,Change Event: Order Product Consumption Rate,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01I1L0000032xz8.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:36.603 -0700
"000000000000000AAA",PermissionSet,978,PermissionSet,,,,PermissionSet,Permission Set,Permission Set,Permission Sets,,false,false,false,false,false,,"0PS",false,false,false,true,false,true,false,true,true,true,true,false,true,true,/{ID},/{ID}/e,/0PS/e,,,,PermissionSet.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.576 -0700
"000000000000000AAA",OrderShare,932,OrderShare,,,,OrderShare,Order Share,Order Share,Order Share,,false,false,false,false,false,,"0Fy",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/0Fy/e,,,,OrderShare.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.498 -0700
"000000000000000AAA",Gong__Related_Opportunity__ChangeEvent,599,"01IUZ0000004zxx.ChangeEvent",,,Gong,Related_Opportunity__ChangeEvent,Change Event: Gong Related Opportunities,Change Event: Gong Related Opportunities,Change Event: Gong Related Opportunities,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01IUZ0000004zxx.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:34.607 -0700
"000000000000000AAA",SBQQ__UsageRate__ChangeEvent,1205,"01I41000002zuTe.ChangeEvent",,,SBQQ,UsageRate__ChangeEvent,Change Event: Usage Rate (Reserved),Change Event: Usage Rate (Reserved),Change Event: Usage Rate (Reserved),,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01I41000002zuTe.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:37.918 -0700
"000000000000000AAA",CustomHelpMenuItem,338,CustomHelpMenuItem,,,,CustomHelpMenuItem,Custom Help Menu Item,Custom Help Menu Item,Custom Help Menu Items,,false,false,false,false,false,,"2Ca",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/2Ca/e,,,,CustomHelpMenuItem.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:32.876 -0700
"000000000000000AAA",SetupEntityAccess,1255,SetupEntityAccess,,,,SetupEntityAccess,Setup Entity Access,Setup Entity Access,Setup Entity Access,,false,false,false,false,false,,"0J0",false,false,false,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/0J0/e,,,,SetupEntityAccess.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:37.951 -0700
"000000000000000AAA",Competitor_Transaction__History,254,"01I8X000003Bcwt.History",,,,Competitor_Transaction__History,History: Competitor Transaction,History: Competitor Transaction,History: Competitor Transaction,,false,false,false,false,false,,"017",false,false,true,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/017/e,,,,"01I8X000003Bcwt.History.005UZ00000BrdXxYAJ",System,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:32.657 -0700
"000000000000000AAA",WorkPlanTemplateEntryFeed,1454,WorkPlanTemplateEntryFeed,,,,WorkPlanTemplateEntryFeed,Work Plan Template Entry Feed,Work Plan Template Entry Feed,Work Plan Template Entry Feed,,false,false,false,false,false,,"0D5",false,false,true,true,false,false,false,true,false,false,true,false,true,false,/{ID},/{ID}/e,/0D5/e,,,,WorkPlanTemplateEntryFeed.005UZ00000BrdXxYAJ,System,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:38.006 -0700
"000000000000000AAA",FlowVersionView,536,FlowVersionView,,,,FlowVersionView,Flow Version,Flow Version,Flow Versions,,false,false,false,false,false,,"3vd",false,false,false,false,false,false,false,false,true,true,true,false,true,false,/{ID},/{ID}/e,/3vd/e,,,,FlowVersionView.005UZ00000BrdXxYAJ,MetadataCatalog,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:34.533 -0700
"000000000000000AAA",Profile,953,Profile,,,,Profile,Profile,Profile,Profiles,,false,false,false,false,false,,"00e",false,false,true,true,false,true,false,true,true,true,true,false,true,true,/{ID},/{ID}/e,/00e/e,,,,Profile.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:36.513 -0700
"000000000000000AAA",DataLakeObjectInstanceFeed,373,DataLakeObjectInstanceFeed,,,,DataLakeObjectInstanceFeed,Data Lake Object Feed,Data Lake Object Feed,Data Lake Object Feed,,false,false,false,false,false,,"0D5",false,false,true,true,false,false,false,true,false,false,true,false,true,false,/{ID},/{ID}/e,/0D5/e,,,,DataLakeObjectInstanceFeed.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:32.878 -0700
"000000000000000AAA",TaskRelation,1332,TaskRelation,,,,TaskRelation,Task Relation,Task Relation,Task Relations,,false,false,false,false,false,,"0RT",false,false,true,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/0RT/e,,,,TaskRelation.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:37.977 -0700
"000000000000000AAA",ExternalEventMappingShare,504,ExternalEventMappingShare,,,,ExternalEventMappingShare,External Event Mapping Share,External Event Mapping Share,External Event Mapping Share,,false,false,false,false,false,,"02c",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/02c/e,,,,ExternalEventMappingShare.005UZ00000BrdXxYAJ,System,false,Private,Private,false,false,false,false,,,,,,false,2025-04-14 08:28:34.508 -0700
"000000000000000AAA",LCOM_Order_Modification__History,696,"01IUZ000000NrQJ.History",,,,LCOM_Order_Modification__History,History: LCOM Order Modification,History: LCOM Order Modification,History: LCOM Order Modification,,false,false,false,false,false,,"017",false,false,true,true,false,false,false,true,true,false,true,false,true,false,/{ID},/{ID}/e,/017/e,,,,"01IUZ000000NrQJ.History.005UZ00000BrdXxYAJ",System,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:34.848 -0700
"000000000000000AAA",CustomBrand,336,CustomBrand,,,,CustomBrand,Custom Brand,Custom Brand,Custom Brand,,false,false,false,false,false,,"07W",false,false,false,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/07W/e,,,,CustomBrand.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:32.876 -0700
"000000000000000AAA",TopicLocalization,1348,TopicLocalization,,,,TopicLocalization,Translation,Translation,Translation,,false,false,false,false,false,,"01j",false,false,true,true,false,false,false,true,true,true,true,false,true,false,/{ID},/{ID}/e,/01j/e,,,,TopicLocalization.005UZ00000BrdXxYAJ,System,false,ReadWrite,ReadWrite,false,false,false,false,,,,,,false,2025-04-14 08:28:37.984 -0700
"000000000000000AAA",Implementation_Plan__ChangeEvent,639,"01I8X000003YKhP.ChangeEvent",,,,Implementation_Plan__ChangeEvent,Change Event: Implementation Plan,Change Event: Implementation Plan,Change Event: Implementation Plan,,false,true,false,false,false,,"1CE",false,false,false,true,false,false,true,false,true,true,true,false,false,false,/{ID},/{ID}/e,/1CE/e,,,,"01I8X000003YKhP.ChangeEvent.005UZ00000BrdXxYAJ",CDC,false,ControlledByParent,ControlledByParent,false,false,false,false,,,,,,false,2025-04-14 08:28:34.764 -0700
