"entity_definition_id","id","qualified_api_name","durable_id","namespace_prefix","developer_name","master_label","label","length","data_type","service_data_type_id","value_type_id","extra_type_info","is_calculated","is_high_scale_number","is_html_formatted","is_name_field","is_nillable","is_workflow_filterable","is_compact_layoutable","precision","scale","is_field_history_tracked","is_indexed","is_api_filterable","is_api_sortable","is_list_filterable","is_list_sortable","is_api_groupable","is_list_visible","controlling_field_definition_id","last_modified_date","last_modified_by_id","publisher_id","running_user_field_access_id","relationship_name","reference_target_field","is_compound","is_search_prefilterable","is_polymorphic_foreign_key","is_ai_prediction_field","business_owner_id","business_status","security_classification","compliance_group","description","_fivetran_deleted","_fivetran_synced"
PermissionSetGroup,"000000000000000AAA",IsDeleted,PermissionSetGroup.IsDeleted,,IsDeleted,Deleted,Deleted,0,Checkbox,boolean,boolean,,false,false,false,false,false,false,false,0,0,false,false,true,true,true,true,true,true,,,,System,PermissionSetGroup.IsDeleted.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:29:43.093 -0700
DelegatedAccountHistory,"000000000000000AAA",IsDeleted,DelegatedAccountHistory.IsDeleted,,IsDeleted,Deleted,Deleted,0,Checkbox,boolean,boolean,,false,false,false,false,false,false,false,0,0,false,false,true,true,true,true,true,true,,,,System,DelegatedAccountHistory.IsDeleted.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:29:05.302 -0700
AssetRelationship,"000000000000000AAA",IsDeleted,AssetRelationship.IsDeleted,,IsDeleted,Deleted,Deleted,0,Checkbox,boolean,boolean,,false,false,false,false,false,false,false,0,0,false,false,true,true,true,true,true,true,,,,System,AssetRelationship.IsDeleted.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:28:47.661 -0700
DataCommCapDim,"000000000000000AAA",IsDeleted,DataCommCapDim.IsDeleted,,IsDeleted,Deleted,Deleted,0,Checkbox,boolean,boolean,,false,false,false,false,false,false,false,0,0,false,false,true,true,true,true,true,true,,,,System,DataCommCapDim.IsDeleted.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:29:04.218 -0700
"01I41000002c7i0","000000000000000AAA",IsDeleted,"01I41000002c7i0.IsDeleted",,IsDeleted,Deleted,Deleted,0,Checkbox,boolean,boolean,,false,false,false,false,false,false,false,0,0,false,true,true,true,true,true,true,true,,,,System,"01I41000002c7i0.IsDeleted.005UZ00000BrdXxYAJ",,,false,false,false,false,,,,,,false,2025-04-14 08:29:48.118 -0700
FlowStageRelation,"000000000000000AAA",IsDeleted,FlowStageRelation.IsDeleted,,IsDeleted,Deleted,Deleted,0,Checkbox,boolean,boolean,,false,false,false,false,false,false,false,0,0,false,false,true,true,true,true,true,true,,,,System,FlowStageRelation.IsDeleted.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:29:10.793 -0700
OmniSupervisorConfigProfile,"000000000000000AAA",IsDeleted,OmniSupervisorConfigProfile.IsDeleted,,IsDeleted,Deleted,Deleted,0,Checkbox,boolean,boolean,,false,false,false,false,false,false,false,0,0,false,false,true,true,true,true,true,true,,,,System,OmniSupervisorConfigProfile.IsDeleted.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:29:35.130 -0700
LiveChatTranscript,"000000000000000AAA",VisitorMessageCount,LiveChatTranscript.VisitorMessageCount,,VisitorMessageCount,Visitor Message Count,Visitor Message Count,0,"Number(9, 0)",integer,integer,,false,false,false,false,true,true,true,0,0,false,false,true,true,true,true,true,true,,,,System,LiveChatTranscript.VisitorMessageCount.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:29:25.354 -0700
DelegatedAccountHistory,"000000000000000AAA",Field,DelegatedAccountHistory.Field,,Field,Changed Field,Changed Field,255,"Picklist(Custom Field Definition,Custom Field Data Column)",string,string,,false,false,false,false,false,true,false,0,0,false,true,true,true,true,true,true,true,,,,System,DelegatedAccountHistory.Field.005UZ00000BrdXxYAJ,,,false,false,false,false,,,,,,false,2025-04-14 08:29:05.302 -0700
"01I41000002c7i0","000000000000000AAA",SBQQ__UpperBound__c,"01I41000002c7i0.00N4100000Wtq59",SBQQ,UpperBound,Upper Bound,Upper Bound,0,"Number(12, 0)",double,double,,false,false,false,false,true,true,true,12,0,false,false,true,true,true,true,false,true,,2017-07-13 09:41:26.000 -0700,"00541000000K0azAAC",SBQQ,"01I41000002c7i0.00N4100000Wtq59.005UZ00000BrdXxYAJ",,,false,false,false,false,,,,,Upper bound of the quantity range for this tier.,false,2025-04-14 08:29:48.116 -0700
